t_s,backlog_pkts,backlog_bytes,target_ms,limit_pkts,quantum_bytes,drop_rate,throughput_mbps,sojourn_ms
405.7,11,16654,5.0,993,1514,200.1,5.004,24.62
406.7,19,28766,5.0,993,1514,193.2,4.995,42.6
407.7,14,21196,5.0,993,1514,199.2,5.006,31.32
408.7,17,25738,5.0,993,1514,194.2,4.994,38.13
409.7,18,27252,5.0,993,1514,190.1,5.003,40.3
410.7,17,25738,5.0,993,1514,195.2,4.994,38.13
411.7,16,24224,5.0,993,1514,205.2,5.006,35.8
412.7,11,16654,5.0,993,1514,196.1,5.002,24.63
413.8,12,18168,5.0,993,1514,197.0,5.0,26.88
414.8,25,37850,5.0,993,1514,196.3,4.998,56.02
415.8,14,21196,5.0,993,1514,210.1,4.993,31.4
416.8,16,24224,5.0,993,1514,203.7,5.007,35.79
417.8,16,24224,5.0,993,1514,185.1,5.003,35.82
418.8,13,19682,5.0,993,1514,206.9,4.988,29.19
419.8,16,24224,5.0,993,1514,175.4,5.008,35.78
420.8,14,21196,5.0,993,1514,205.2,4.996,31.39
421.8,11,16654,5.0,993,1514,198.3,4.998,24.65
422.8,15,22710,5.0,993,1514,196.1,5.003,33.58
423.8,20,30280,5.0,993,1514,198.2,5.006,44.75
424.8,15,22710,5.0,993,1514,212.1,4.994,33.64
425.8,12,18168,5.0,993,1514,201.3,4.997,26.9
426.8,17,25738,5.0,993,1514,194.3,5.009,38.01
427.8,17,25738,5.0,993,1514,197.9,4.999,38.09
428.8,14,21196,5.0,993,1514,188.2,4.993,31.4
429.8,17,25738,5.0,993,1514,199.3,4.998,38.1
430.8,13,19682,5.0,993,1514,200.8,5.008,29.07
431.8,13,19682,5.0,993,1514,202.3,4.996,29.14
432.8,22,33308,5.0,993,1514,191.2,5.006,49.22
433.8,21,31794,5.0,993,1514,193.3,4.996,47.08
434.8,13,19682,5.0,993,1514,203.3,4.998,29.13
435.8,16,24224,5.0,993,1514,190.3,4.996,35.87
436.8,20,30280,5.0,993,1514,191.1,5.002,44.78
437.9,19,28766,5.0,993,1514,204.9,5.0,42.56
438.9,14,21196,5.0,993,1514,183.3,5.008,31.31
439.9,11,16654,5.0,993,1514,207.3,4.997,24.65
440.9,15,22710,5.0,993,1514,197.2,5.006,33.56
441.9,26,39364,5.0,993,1514,196.4,4.998,58.26
442.9,27,40878,5.0,993,1514,202.2,4.996,60.53
443.9,15,22710,5.0,993,1514,211.2,4.995,33.63
444.9,14,21196,5.0,993,1514,194.3,5.009,31.3
445.9,20,30280,5.0,993,1514,193.2,4.994,44.85
446.9,20,30280,5.0,993,1514,198.3,4.997,44.83
447.9,21,31794,5.0,993,1514,194.3,5.009,46.96
448.9,20,30280,5.0,993,1514,189.3,4.995,44.84
449.9,16,24224,5.0,993,1514,203.2,5.007,35.79
450.9,15,22710,5.0,993,1514,204.3,4.996,33.63
451.9,7,10598,5.0,993,1514,196.3,4.996,15.69
452.9,14,21196,5.0,993,1514,181.3,4.994,31.4
