[eBPF] Layer 1: ✅ Using existing /home/ammu/ccn-linux-qdisc-study/scripts/../ebpf/tc_monitor.o
[eBPF] Layer 2: Attaching to ns1/veth1...
[eBPF] Layer 2: ✅ Attached — filter protocol all pref 49152 bpf chain 0 handle 0x1 tc_mon
[eBPF] Layer 3: Locating BPF maps via bpftool...
[eBPF] Layer 3: ✅ flow_map id=9
[eBPF] Layer 3: ✅ global_map id=10

════════════════════════════════════════════════════════════════════════
  ACAPE v5.0.0  |  mode: eBPF (clang+tc+bpftool)
  metrics → /home/ammu/ccn-linux-qdisc-study/logs/acape_metrics_20260401_112753.csv
════════════════════════════════════════════════════════════════════════
      t      regime         traj        pred      dr/s     bl   flows  eleph      rtt      wkld     tgt    lim   adj
   86.7       HEAVY   RECOVERING    MODERATE  130526.1    253       0      0    0.00ms      MICE    1.0ms    256    15
   87.2       HEAVY   RECOVERING    MODERATE  131532.1    253       0      0    0.00ms      MICE    1.0ms    256    15
   87.7       HEAVY   RECOVERING    MODERATE  130148.6    251       0      0    0.00ms      MICE    1.0ms    256    15
   88.2       HEAVY   RECOVERING    MODERATE  133573.0    247       0      0    0.00ms      MICE    1.0ms    256    15
   88.8       HEAVY   RECOVERING    MODERATE  130196.8    249       0      0    0.00ms      MICE    1.0ms    256    15
   89.3       HEAVY   RECOVERING    MODERATE  131014.7    249       0      0    0.00ms      MICE    1.0ms    256    15
   89.8       HEAVY   RECOVERING    MODERATE  127357.1    246       0      0    0.00ms      MICE    1.0ms    256    15
   90.3       HEAVY   RECOVERING    MODERATE  132277.9    255       0      0    0.00ms      MICE    1.0ms    256    15
   90.8       HEAVY       STABLE       HEAVY  132442.5    253       0      0    0.00ms      MICE    1.0ms    256    15
   91.3       HEAVY       STABLE       HEAVY  133210.0    244       0      0    0.00ms      MICE    1.0ms    256    15
   91.8       HEAVY       STABLE       HEAVY  133740.8    243       0      0    0.00ms      MICE    1.0ms    256    15
   92.4       HEAVY       STABLE       HEAVY  128984.4    237       0      0    0.00ms      MICE    1.0ms    256    15
   92.9       HEAVY       STABLE       HEAVY  133386.3    251       0      0    0.00ms      MICE    1.0ms    256    15
   93.4       HEAVY       STABLE       HEAVY  131894.0    256       0      0    0.00ms      MICE    1.0ms    256    15
   93.9       HEAVY       STABLE       HEAVY  133817.2    253       0      0    0.00ms      MICE    1.0ms    256    15
   94.4       HEAVY       STABLE       HEAVY  127178.2    237       0      0    0.00ms      MICE    1.0ms    256    15
   94.9       HEAVY   RECOVERING    MODERATE  132308.0    254       0      0    0.00ms      MICE    1.0ms    256    15
   95.4       HEAVY       STABLE       HEAVY  135656.7    237       0      0    0.00ms      MICE    1.0ms    256    15
   95.9       HEAVY   RECOVERING    MODERATE  129776.3    238       0      0    0.00ms      MICE    1.0ms    256    15
