[eBPF] Layer 1: ✅ Using existing /home/ammu/ccn-linux-qdisc-study/scripts/../ebpf/tc_monitor.o
[eBPF] Layer 2: Attaching to ns_router/veth_rs...
[eBPF] Layer 2: ✅ Attached — filter protocol all pref 49152 bpf chain 0 handle 0x1 tc_mon
[eBPF] Layer 3: Locating BPF maps via bpftool...
[eBPF] Layer 3: ✅ flow_map id=19
[eBPF] Layer 3: ✅ global_map id=20

════════════════════════════════════════════════════════════════════════
  ACAPE v5.0.0  |  mode: eBPF (clang+tc+bpftool)
  metrics → /home/ammu/ccn-linux-qdisc-study/logs/acape_metrics_20260403_082701.csv
════════════════════════════════════════════════════════════════════════
      t      regime         traj        pred      dr/s     bl   flows  eleph      rtt      wkld     tgt    lim   adj
   98.2       HEAVY       STABLE       HEAVY     176.6     14       0      0    0.00ms      MICE    1.0ms    256    15
   98.7       HEAVY       STABLE       HEAVY     238.2      7       0      0    0.00ms      MICE    1.0ms    256    15
   99.2       HEAVY       STABLE       HEAVY     172.6     15       0      0    0.00ms      MICE    1.0ms    256    15
   99.7       HEAVY       STABLE       HEAVY     183.6     12       0      0    0.00ms      MICE    1.0ms    256    15
  100.3       HEAVY       STABLE       HEAVY     174.7      6       0      0    0.00ms      MICE    1.0ms    256    15
  100.8       HEAVY       STABLE       HEAVY     159.5     14       0      0    0.00ms      MICE    1.0ms    256    15
  101.3       HEAVY       STABLE       HEAVY     186.0     11       0      0    0.00ms      MICE    1.0ms    256    15
  101.8       HEAVY       STABLE       HEAVY     190.7     11       0      0    0.00ms      MICE    1.0ms    256    15
  102.3       HEAVY       STABLE       HEAVY     178.5     13       0      0    0.00ms      MICE    1.0ms    256    15
  102.8       HEAVY       STABLE       HEAVY     161.2     14       0      0    0.00ms      MICE    1.0ms    256    15
  103.4       HEAVY       STABLE       HEAVY     163.0     13       0      0    0.00ms      MICE    1.0ms    256    15
  103.9       HEAVY       STABLE       HEAVY     175.3      7       0      0    0.00ms      MICE    1.0ms    256    15
  104.4       HEAVY       STABLE       HEAVY     157.1     16       0      0    0.00ms      MICE    1.0ms    256    15
  104.9       HEAVY       STABLE       HEAVY     176.6     12       0      0    0.00ms      MICE    1.0ms    256    15
  105.4       HEAVY       STABLE       HEAVY     180.3     10       0      0    0.00ms      MICE    1.0ms    256    15
  105.9       HEAVY       STABLE       HEAVY     153.2     14       0      0    0.00ms      MICE    1.0ms    256    15
  106.4       HEAVY       STABLE       HEAVY     188.1     11       0      0    0.00ms      MICE    1.0ms    256    15
  107.0       HEAVY       STABLE       HEAVY     175.2     14       0      0    0.00ms      MICE    1.0ms    256    15
  107.5       HEAVY       STABLE       HEAVY     184.2     12       0      0    0.00ms      MICE    1.0ms    256    15
  108.0       HEAVY       STABLE       HEAVY     172.8     11       0      0    0.00ms      MICE    1.0ms    256    15
  108.5       HEAVY       STABLE       HEAVY     161.1     10       0      0    0.00ms      MICE    1.0ms    256    15
  109.0       HEAVY       STABLE       HEAVY     186.6     13       0      0    0.00ms      MICE    1.0ms    256    15
  109.5       HEAVY       STABLE       HEAVY     163.1     11       0      0    0.00ms      MICE    1.0ms    256    15
  110.0       HEAVY       STABLE       HEAVY     157.2      9       0      0    0.00ms      MICE    1.0ms    256    15
  110.6       HEAVY       STABLE       HEAVY     157.4     15       0      0    0.00ms      MICE    1.0ms    256    15
  111.1       HEAVY       STABLE       HEAVY     173.2     13       0      0    0.00ms      MICE    1.0ms    256    15
  111.6       HEAVY       STABLE       HEAVY     157.5     15       0      0    0.00ms      MICE    1.0ms    256    15
  112.1       HEAVY       STABLE       HEAVY     172.4     12       0      0    0.00ms      MICE    1.0ms    256    15
  112.6       HEAVY       STABLE       HEAVY     163.3     14       0      0    0.00ms      MICE    1.0ms    256    15
  113.1       HEAVY       STABLE       HEAVY     186.9      7       0      0    0.00ms      MICE    1.0ms    256    15
  113.6       HEAVY       STABLE       HEAVY     169.9     12       0      0    0.00ms      MICE    1.0ms    256    15
  114.2       HEAVY       STABLE       HEAVY     181.5     13       0      0    0.00ms      MICE    1.0ms    256    15
  114.7       HEAVY       STABLE       HEAVY     177.5      7       0      0    0.00ms      MICE    1.0ms    256    15
  115.2       HEAVY       STABLE       HEAVY     145.8     12       0      0    0.00ms      MICE    1.0ms    256    15
  115.7       HEAVY       STABLE       HEAVY     163.2     13       0      0    0.00ms      MICE    1.0ms    256    15
  116.2       HEAVY       STABLE       HEAVY     176.8     15       0      0    0.00ms      MICE    1.0ms    256    15
  116.7       HEAVY       STABLE       HEAVY     195.0      9       0      0    0.00ms      MICE    1.0ms    256    15
  117.2       HEAVY       STABLE       HEAVY     174.4     12       0      0    0.00ms      MICE    1.0ms    256    15
  117.7       HEAVY       STABLE       HEAVY     173.7     14       0      0    0.00ms      MICE    1.0ms    256    15
  118.2       HEAVY       STABLE       HEAVY     158.6     11       0      0    0.00ms      MICE    1.0ms    256    15
  118.7       HEAVY       STABLE       HEAVY     169.3     11       0      0    0.00ms      MICE    1.0ms    256    15
