[eBPF] Layer 1: ✅ Using existing /home/ammu/ccn-linux-qdisc-study/scripts/../ebpf/tc_monitor.o
[eBPF] Layer 2: Attaching to ns_router/veth_rs...
[eBPF] Layer 2: ✅ Attached — filter protocol all pref 49152 bpf chain 0 handle 0x1 tc_mon
[eBPF] Layer 3: Locating BPF maps via bpftool...
[eBPF] Layer 3: ✅ flow_map id=37
[eBPF] Layer 3: ✅ global_map id=38

════════════════════════════════════════════════════════════════════════
  ACAPE v5.0.0  |  mode: eBPF (clang+tc+bpftool)
  metrics → /home/ammu/ccn-linux-qdisc-study/logs/acape_metrics_20260409_122449.csv
════════════════════════════════════════════════════════════════════════
      t      regime         traj        pred      dr/s     bl   flows  eleph      rtt      wkld     tgt    lim   adj
   66.4       HEAVY       STABLE       HEAVY     195.7     12       0      0    0.00ms      MICE    1.4ms    286    12
   66.9       HEAVY       STABLE       HEAVY     213.7      8       0      0    0.00ms      MICE    1.4ms    286    12
   67.4       HEAVY       STABLE       HEAVY     163.5     13       0      0    0.00ms      MICE    1.4ms    286    12
   67.9       HEAVY       STABLE       HEAVY     172.3     12       0      0    0.00ms      MICE    1.4ms    286    12
   68.4       HEAVY       STABLE       HEAVY     195.6     11       0      0    0.00ms      MICE    1.4ms    286    12
   68.9       HEAVY       STABLE       HEAVY     183.1     15       0      0    0.00ms      MICE    1.4ms    286    12
   69.4       HEAVY       STABLE       HEAVY     183.4      7       0      0    0.00ms      MICE    1.4ms    286    12
   69.9       HEAVY       STABLE       HEAVY     175.6     11       0      0    0.00ms      MICE    1.4ms    286    12
   70.4       HEAVY       STABLE       HEAVY     175.1     19       0      0    0.00ms      MICE    1.4ms    286    12
   70.9       HEAVY       STABLE       HEAVY     199.0     14       0      0    0.00ms      MICE    1.4ms    286    12
   71.5       HEAVY       STABLE       HEAVY     164.3      9       0      0    0.00ms      MICE    1.3ms    257    13
   72.0       HEAVY       STABLE       HEAVY     181.7      8       0      0    0.00ms      MICE    1.3ms    257    13
   72.5       HEAVY       STABLE       HEAVY     183.3     12       0      0    0.00ms      MICE    1.3ms    257    13
   73.0       HEAVY       STABLE       HEAVY     173.5     13       0      0    0.00ms      MICE    1.3ms    257    13
