t_s,backlog_pkts,backlog_bytes,target_ms,limit_pkts,quantum_bytes,drop_rate,throughput_mbps,sojourn_ms
414.6,11,16654,15.0,1000,1514,174.4,4.997,24.65
415.6,5,7570,15.0,1000,1514,161.5,4.999,11.2
416.6,3,4542,15.0,1000,1514,164.3,4.994,6.73
417.6,10,15140,15.0,1000,1514,169.2,5.001,22.4
418.7,3,4542,15.0,1000,1514,158.5,5.01,6.71
419.7,9,13626,15.0,1000,1514,180.1,4.989,20.2
420.7,9,13626,15.0,1000,1514,170.2,5.004,20.14
421.7,12,18168,15.0,1000,1514,172.5,4.999,26.89
422.7,5,7570,15.0,1000,1514,189.4,4.999,11.2
423.7,4,6056,15.0,1000,1514,173.4,4.998,8.96
424.7,3,4542,15.0,1000,1514,174.4,5.009,6.71
425.7,7,10598,15.0,1000,1514,169.1,5.001,15.68
426.7,7,10598,15.0,1000,1514,168.4,4.995,15.7
427.7,7,10598,15.0,1000,1514,173.4,4.998,15.69
428.7,3,4542,15.0,1000,1514,178.3,5.007,6.71
429.7,7,10598,15.0,1000,1514,170.3,4.993,15.7
430.7,8,12112,15.0,1000,1514,179.4,4.997,17.93
431.7,7,10598,15.0,1000,1514,178.4,5.009,15.65
432.7,11,16654,15.0,1000,1514,164.5,4.998,24.65
433.7,8,12112,15.0,1000,1514,193.2,4.992,17.95
434.7,9,13626,15.0,1000,1514,186.4,5.01,20.12
435.7,8,12112,15.0,1000,1514,175.4,4.997,17.93
436.7,6,9084,15.0,1000,1514,167.3,4.995,13.45
437.7,11,16654,15.0,1000,1514,164.4,5.009,24.6
438.7,12,18168,15.0,1000,1514,169.4,4.996,26.9
439.7,4,6056,15.0,1000,1514,160.5,4.997,8.97
440.7,5,7570,15.0,1000,1514,153.3,5.003,11.19
441.7,10,15140,15.0,1000,1514,158.4,4.996,22.42
