========================================================================
  Adaptive RED Controller  —  Floyd, Gummadi & Shenker (ICSI 2001)
  ns=ns_router  iface=veth_rs  duration=630s
  min_th=20  max_th=300  max_p=0.5
  W_Q=0.002  alpha=0.01  beta=0.9
========================================================================
  NOTE: Adaptive RED adapts max_p (drop prob) mapped to target/limit
  It does NOT use gradient prediction, eBPF, or workload profiles
========================================================================
  t(s)    avg_q       dr/s      bl    tput   max_p   target  limit   adj
 141.9      5.5      113.1      12   10.00   0.010    4.8ms    993     3
 142.4      5.5      149.9      12   10.01   0.010    4.8ms    993     3
 142.9      5.5      146.4      13    9.99   0.010    4.8ms    993     3
 143.4      5.5      140.9      15   10.00   0.010    4.8ms    993     3
 143.9      5.5      161.6      13   10.00   0.010    4.8ms    993     3
 144.4      5.6      134.1      14    9.98   0.010    4.8ms    993     3
 144.9      5.6      169.6      14    9.99   0.010    4.8ms    993     3
 145.4      5.6      130.0      11   10.02   0.010    4.8ms    993     3
 145.9      5.6      136.3      14   10.02   0.010    4.8ms    993     3
 146.4      5.6      157.6      13   10.00   0.010    4.8ms    993     3
 147.0      5.6      164.3      14   10.00   0.010    4.8ms    993     3
 147.5      5.7      141.6      16   10.01   0.010    4.8ms    993     3
 148.0      5.7      151.9      11   10.01   0.010    4.8ms    993     3
 148.5      5.7      151.9      11    9.99   0.010    4.8ms    993     3
 149.0      5.7      120.9      17   10.01   0.010    4.8ms    993     3
 149.5      5.7      128.2      14    9.99   0.010    4.8ms    993     3
 150.0      5.7      145.1      14   10.02   0.010    4.8ms    993     3
 150.5      5.8      129.1      16    9.98   0.010    4.8ms    993     3
 151.0      5.8      145.9      11   10.00   0.010    4.8ms    993     3
 151.5      5.8      115.3      12   10.02   0.010    4.8ms    993     3
 152.0      5.8      144.6      13    9.98   0.010    4.8ms    993     3
 152.5      5.8      165.9      12   10.00   0.010    4.8ms    993     3
 153.0      5.8      144.0      11   10.01   0.010    4.8ms    993     3
 153.5      5.8      132.2      16    9.99   0.010    4.8ms    993     3
 154.0      5.8      177.7      13    9.99   0.010    4.8ms    993     3
