t_s,drop_rate_per_s,drops_exp,backlog_pkts,throughput_mbps,rtt_proxy_ms,active_flows,elephant_flows,mice_flows,elephant_ratio,regime,trajectory,predicted_regime,workload_profile,target_ms,interval_ms,limit_pkts,quantum_bytes,ebpf_pkts,ebpf_bytes
75.547,168.1039,11406,12,9.9673,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.27,50.0,257,300,0,0
76.060,193.2424,11505,11,10.0478,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.27,50.0,257,300,0,0
76.569,172.8223,11593,13,9.9904,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.27,50.0,257,300,0,0
77.080,172.1760,11681,10,10.0004,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.14,50.0,256,300,0,0
77.591,158.6875,11762,11,9.9898,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.14,50.0,256,300,0,0
78.099,204.6928,11866,13,10.0123,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.14,50.0,256,300,0,0
78.607,208.4570,11972,5,10.0040,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.14,50.0,256,300,0,0
79.118,184.0816,12066,15,9.9857,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.14,50.0,256,300,0,0
79.631,181.3440,12159,9,9.9903,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.14,50.0,256,300,0,0
80.139,163.3409,12242,11,10.0111,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.14,50.0,256,300,0,0
80.649,150.7860,12319,14,10.0092,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.14,50.0,256,300,0,0
81.159,192.3782,12417,10,9.9861,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.14,50.0,256,300,0,0
81.667,192.9371,12515,7,10.0151,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.14,50.0,256,300,0,0
82.178,187.8579,12611,9,10.0020,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.03,50.0,256,300,0,0
82.689,164.2476,12695,10,9.9942,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.03,50.0,256,300,0,0
83.197,171.4760,12782,7,10.0026,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.03,50.0,256,300,0,0
83.704,189.2852,12878,12,10.0063,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.03,50.0,256,300,0,0
84.212,178.9907,12969,9,9.9582,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.03,50.0,256,300,0,0
84.726,173.2793,13058,7,10.0222,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.03,50.0,256,300,0,0
85.235,163.0001,13141,9,10.0140,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.03,50.0,256,300,0,0
85.745,168.5517,13227,16,9.9938,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.03,50.0,256,300,0,0
86.256,193.7490,13326,12,10.0031,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.03,50.0,256,300,0,0
86.764,188.8476,13422,10,10.0070,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.03,50.0,256,300,0,0
87.272,173.4580,13510,12,9.9794,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.03,50.0,256,300,0,0
87.781,159.1013,13591,13,10.0158,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.03,50.0,256,300,0,0
88.290,182.6818,13684,12,9.9926,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.03,50.0,256,300,0,0
88.800,186.3148,13779,5,10.0005,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.03,50.0,256,300,0,0
89.308,169.3137,13865,15,10.0152,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.03,50.0,256,300,0,0
89.817,186.7368,13960,11,9.9755,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.03,50.0,256,300,0,0
90.330,167.4208,14046,9,9.9975,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.03,50.0,256,300,0,0
90.839,174.8784,14135,4,10.0195,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.03,50.0,256,300,0,0
91.346,179.4025,14226,10,10.0050,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.03,50.0,256,300,0,0
91.855,171.0584,14313,14,10.0021,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.03,50.0,256,300,0,0
92.363,188.8155,14409,11,9.9815,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.03,50.0,256,300,0,0
92.872,178.8085,14500,16,9.9957,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.03,50.0,256,300,0,0
93.384,174.0123,14589,11,10.0172,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.03,50.0,256,300,0,0
93.896,193.4712,14688,9,9.9887,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.03,50.0,256,300,0,0
94.404,194.8221,14787,8,10.0108,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.03,50.0,256,300,0,0
94.912,210.4915,14894,9,9.9834,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.03,50.0,256,300,0,0
95.426,173.1355,14983,12,9.9903,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.03,50.0,256,300,0,0
95.937,185.9154,15078,12,10.0265,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.03,50.0,256,300,0,0
96.444,165.5792,15162,12,10.0036,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.03,50.0,256,300,0,0
