[eBPF] Layer 1: ✅ Using existing /home/ammu/ccn-linux-qdisc-study/scripts/../ebpf/tc_monitor.o
[eBPF] Layer 2: Attaching to ns1/veth1...
[eBPF] Layer 2: ✅ Attached — filter protocol all pref 49152 bpf chain 0 handle 0x1 tc_mon
[eBPF] Layer 3: Locating BPF maps via bpftool...
[eBPF] Layer 3: ✅ flow_map id=22
[eBPF] Layer 3: ✅ global_map id=23

════════════════════════════════════════════════════════════════════════
  ACAPE v5.0.0  |  mode: eBPF (clang+tc+bpftool)
  metrics → /home/ammu/ccn-linux-qdisc-study/logs/acape_metrics_20260402_131706.csv
════════════════════════════════════════════════════════════════════════
      t      regime         traj        pred      dr/s     bl   flows  eleph      rtt      wkld     tgt    lim   adj
   91.6       HEAVY       STABLE       HEAVY   48249.7    246       0      0    0.00ms      MICE    1.0ms    256    15
   92.1       HEAVY       STABLE       HEAVY   47128.2    245       0      0    0.00ms      MICE    1.0ms    256    15
   92.6       HEAVY       STABLE       HEAVY   63783.5    244       0      0    0.00ms      MICE    1.0ms    256    15
   93.1       HEAVY       STABLE       HEAVY   54443.3    241       0      0    0.00ms      MICE    1.0ms    256    15
   93.6       HEAVY       STABLE       HEAVY   61445.6    244       0      0    0.00ms      MICE    1.0ms    256    15
   94.1       HEAVY       STABLE       HEAVY   51767.7    248       0      0    0.00ms      MICE    1.0ms    256    15
   94.6       HEAVY   RECOVERING    MODERATE   44250.7    251       0      0    0.00ms      MICE    1.0ms    256    15
   95.1       HEAVY   RECOVERING    MODERATE   49161.2    235       0      0    0.00ms      MICE    1.0ms    256    15
   95.7       HEAVY   RECOVERING    MODERATE   47174.8    239       0      0    0.00ms      MICE    1.0ms    256    15
   96.2       HEAVY   RECOVERING    MODERATE   47362.6    242       0      0    0.00ms      MICE    1.0ms    256    15
   96.7       HEAVY   RECOVERING    MODERATE   53818.9    231       0      0    0.00ms      MICE    1.0ms    256    15
   97.2       HEAVY   RECOVERING    MODERATE   60963.5    256       0      0    0.00ms      MICE    1.0ms    256    15
   97.7       HEAVY       STABLE       HEAVY   55123.4    235       0      0    0.00ms      MICE    1.0ms    256    15
   98.2       HEAVY       STABLE       HEAVY   60745.7    239       0      0    0.00ms      MICE    1.0ms    256    15
   98.7       HEAVY       STABLE       HEAVY   51432.4    245       0      0    0.00ms      MICE    1.0ms    256    15
   99.3       HEAVY       STABLE       HEAVY   38676.8    230       0      0    0.00ms      MICE    1.0ms    256    15
   99.8       HEAVY   RECOVERING    MODERATE   45182.6    250       0      0    0.00ms      MICE    1.0ms    256    15
  100.3       HEAVY   RECOVERING    MODERATE   52474.7    236       0      0    0.00ms      MICE    1.0ms    256    15
  100.8       HEAVY   RECOVERING    MODERATE   56091.2    239       0      0    0.00ms      MICE    1.0ms    256    15
  101.3       HEAVY   RECOVERING    MODERATE   55995.4    239       0      0    0.00ms      MICE    1.0ms    256    15
  101.8       HEAVY   RECOVERING    MODERATE   59744.0    256       0      0    0.00ms      MICE    1.0ms    256    15
  102.3       HEAVY       STABLE       HEAVY   52802.3    230       0      0    0.00ms      MICE    1.0ms    256    15
