t_s,backlog_pkts,target_ms,drop_rate,throughput_mbps,sojourn_ms
509.6,12,5.0,100.7,9.997,13.44
510.6,15,5.0,96.7,9.997,16.8
511.6,11,5.0,110.7,9.989,12.33
512.6,14,5.0,104.6,10.016,15.65
513.6,10,5.0,98.7,9.997,11.2
514.6,11,5.0,91.7,9.996,12.33
515.6,16,5.0,96.7,9.998,17.92
516.6,14,5.0,108.7,10.009,15.67
517.6,17,5.0,101.6,9.993,19.05
518.6,15,5.0,101.7,10.008,16.79
519.6,12,5.0,107.7,9.997,13.44
520.6,11,5.0,105.6,9.993,12.33
521.6,15,5.0,111.6,9.995,16.81
522.6,14,5.0,95.7,10.005,15.67
523.7,14,5.0,107.6,10.008,15.67
524.7,16,5.0,98.7,9.983,17.95
525.7,17,5.0,97.7,10.009,19.02
526.7,0,5.0,84.7,10.005,0.0
527.7,13,5.0,107.6,9.993,14.57
528.7,12,5.0,101.7,10.01,13.43
529.7,16,5.0,93.7,9.998,17.92
530.7,16,5.0,105.6,9.982,17.95
531.7,17,5.0,103.7,10.008,19.02
532.7,17,5.0,110.7,10.011,19.02
533.7,18,5.0,90.7,9.984,20.19
534.7,15,5.0,99.7,10.006,16.79
535.7,12,5.0,107.6,10.005,13.43
536.7,14,5.0,99.7,9.996,15.69
537.7,9,5.0,106.7,10.009,10.07
538.7,19,5.0,103.6,9.994,21.29
539.7,11,5.0,107.6,10.002,12.32
540.7,10,5.0,101.6,10.005,11.19
541.7,15,5.0,115.6,9.998,16.8
542.7,12,5.0,96.7,10.0,13.44
543.7,15,5.0,105.7,9.998,16.8
544.7,9,5.0,97.7,9.994,10.09
545.7,9,5.0,92.6,10.003,10.08
546.7,13,5.0,98.7,9.999,14.56
547.7,14,5.0,99.7,9.997,15.69
548.7,12,5.0,95.7,10.008,13.43
549.7,13,5.0,99.7,9.996,14.57
550.7,14,5.0,107.7,9.999,15.68
551.7,14,5.0,104.7,10.001,15.68
552.7,13,5.0,95.7,10.005,14.55
553.8,10,5.0,101.6,10.002,11.2
554.8,14,5.0,104.6,9.993,15.69
555.8,14,5.0,95.7,9.997,15.68
556.8,15,5.0,90.7,10.011,16.78
557.8,13,5.0,93.7,9.999,14.56
558.8,17,5.0,89.7,9.993,19.05
559.8,13,5.0,91.7,9.997,14.56
560.8,12,5.0,95.7,10.011,13.42
561.8,18,5.0,96.7,9.987,20.19
562.8,14,5.0,106.7,10.01,15.66
563.8,7,5.0,93.7,10.001,7.84
564.8,15,5.0,90.7,10.0,16.8
565.8,13,5.0,109.7,9.998,14.56
566.8,16,5.0,93.7,9.998,17.92
567.8,11,5.0,87.7,9.997,12.32
568.8,12,5.0,99.7,9.998,13.44
569.8,14,5.0,92.7,10.01,15.66
570.8,18,5.0,95.7,10.0,20.16
571.8,16,5.0,87.7,9.988,17.94
572.8,18,5.0,90.7,10.008,20.14
573.8,15,5.0,97.7,9.999,16.8
574.8,13,5.0,93.6,10.003,14.56
575.8,15,5.0,89.7,9.998,16.8
576.8,16,5.0,97.7,9.996,17.93
577.8,16,5.0,102.6,10.005,17.91
578.8,20,5.0,97.7,9.994,22.41
579.8,11,5.0,98.7,10.001,12.32
580.8,15,5.0,98.7,9.995,16.81
581.8,14,5.0,94.7,10.005,15.67
582.8,14,5.0,104.7,10.0,15.68
583.8,16,5.0,84.7,9.997,17.93
584.8,10,5.0,99.7,10.01,11.19
585.9,17,5.0,101.7,9.998,19.04
586.9,14,5.0,95.7,10.0,15.68
587.9,14,5.0,100.7,9.997,15.68
588.9,18,5.0,100.7,10.001,20.16
589.9,15,5.0,96.7,10.0,16.8
590.9,15,5.0,93.7,9.995,16.81
591.9,16,5.0,95.7,10.0,17.92
592.9,16,5.0,97.7,10.009,17.9
593.9,15,5.0,99.7,9.994,16.81
594.9,19,5.0,102.6,10.005,21.27
595.9,15,5.0,95.7,9.996,16.81
596.9,16,5.0,98.7,9.998,17.92
597.9,13,5.0,97.6,10.002,14.56
598.9,16,5.0,90.7,10.004,17.91
599.9,16,5.0,100.7,9.997,17.93
600.9,0,5.0,8.0,1.562,0.0
